Start Date,End Date,Start Price,End Price,Profit/Loss,Profit/Loss %,Days Held,Max Price,Min Price,Max Drawdown,Max Drawdown %,Volatility %
1975-01-01,1978-12-31,100.62,102.67,2.04,2.03,1460,102.95,99.06,2.01,1.96,0.84
1975-01-02,1979-01-01,100.68,102.66,1.98,1.96,1460,102.95,99.06,2.01,1.96,0.84
1975-01-03,1979-01-02,99.55,101.70,2.15,2.16,1460,102.95,99.06,2.01,1.96,0.84
1975-01-04,1979-01-03,100.36,102.52,2.16,2.16,1460,102.95,99.06,2.01,1.96,0.84
1975-01-05,1979-01-04,100.80,102.54,1.74,1.72,1460,102.95,99.06,2.01,1.96,0.84
1975-01-06,1979-01-05,99.86,101.21,1.35,1.35,1460,102.95,99.06,2.01,1.96,0.85
1975-01-07,1979-01-06,100.86,102.32,1.46,1.45,1460,102.95,99.06,2.01,1.96,0.85
1975-01-08,1979-01-07,100.62,102.93,2.31,2.30,1460,102.95,99.06,2.01,1.96,0.85
1975-01-09,1979-01-08,99.36,102.54,3.19,3.21,1460,102.95,99.06,2.01,1.96,0.84
1975-01-10,1979-01-09,100.03,101.77,1.73,1.73,1460,102.95,99.06,2.01,1.96,0.84
1975-01-11,1979-01-10,100.11,102.36,2.26,2.25,1460,102.95,99.06,2.01,1.96,0.84
1975-01-12,1979-01-11,99.12,102.25,3.12,3.15,1460,102.95,99.06,2.01,1.96,0.84
1975-01-13,1979-01-12,99.53,102.44,2.91,2.92,1460,102.95,99.06,2.01,1.96,0.84
1975-01-14,1979-01-13,99.40,102.55,3.15,3.17,1460,102.95,99.06,2.01,1.96,0.84
1975-01-15,1979-01-14,99.94,102.96,3.03,3.03,1460,102.96,99.06,2.01,1.96,0.84
1975-01-16,1979-01-15,100.58,101.26,0.68,0.68,1460,102.96,99.06,2.01,1.96,0.85
1975-01-17,1979-01-16,100.87,101.80,0.93,0.92,1460,102.96,99.06,2.01,1.96,0.85
1975-01-18,1979-01-17,99.31,102.62,3.30,3.33,1460,102.96,99.06,2.01,1.96,0.84
1975-01-19,1979-01-18,100.96,101.97,1.01,1.00,1460,102.96,99.06,2.01,1.96,0.84
1975-01-20,1979-01-19,100.82,101.20,0.38,0.38,1460,102.96,99.06,2.01,1.96,0.84
1975-01-21,1979-01-20,99.94,101.36,1.43,1.43,1460,102.96,99.06,2.01,1.96,0.84
1975-01-22,1979-01-21,100.99,101.30,0.31,0.31,1460,102.96,99.06,2.01,1.96,0.84
1975-01-23,1979-01-22,100.40,100.98,0.58,0.58,1460,102.96,99.06,2.01,1.96,0.84
1975-01-24,1979-01-23,99.46,101.66,2.20,2.22,1460,102.96,99.06,2.01,1.96,0.84
1975-01-25,1979-01-24,100.30,103.01,2.70,2.70,1460,103.01,99.06,2.01,1.96,0.84
1975-01-26,1979-01-25,100.62,102.01,1.39,1.38,1460,103.01,99.06,2.01,1.96,0.84
1975-01-27,1979-01-26,100.79,101.93,1.14,1.13,1460,103.01,99.06,2.01,1.96,0.84
1975-01-28,1979-01-27,99.54,102.94,3.39,3.41,1460,103.01,99.06,2.01,1.96,0.84
1975-01-29,1979-01-28,99.47,101.17,1.69,1.70,1460,103.01,99.06,2.01,1.96,0.84
1975-01-30,1979-01-29,99.45,101.39,1.94,1.95,1460,103.01,99.06,2.01,1.96,0.84
1975-01-31,1979-01-30,99.90,102.21,2.31,2.31,1460,103.01,99.06,2.01,1.96,0.84
1975-02-01,1979-01-31,100.03,102.94,2.91,2.91,1460,103.01,99.06,2.01,1.96,0.85
1975-02-02,1979-02-01,99.54,101.31,1.78,1.79,1460,103.01,99.06,2.01,1.96,0.85
1975-02-03,1979-02-02,100.35,102.66,2.32,2.31,1460,103.01,99.06,2.01,1.96,0.85
1975-02-04,1979-02-03,99.11,102.52,3.41,3.44,1460,103.01,99.06,2.01,1.96,0.85
1975-02-05,1979-02-04,99.28,101.95,2.66,2.68,1460,103.01,99.06,2.01,1.96,0.85
1975-02-06,1979-02-05,99.09,101.64,2.54,2.57,1460,103.01,99.06,2.01,1.96,0.85
1975-02-07,1979-02-06,100.52,102.24,1.72,1.71,1460,103.01,99.06,2.01,1.96,0.85
1975-02-08,1979-02-07,100.89,102.23,1.35,1.33,1460,103.01,99.06,2.01,1.96,0.85
1975-02-09,1979-02-08,100.39,101.71,1.32,1.31,1460,103.01,99.06,2.01,1.96,0.85
1975-02-10,1979-02-09,100.90,102.08,1.19,1.18,1460,103.01,99.06,2.01,1.96,0.85
1975-02-11,1979-02-10,100.42,102.25,1.84,1.83,1460,103.01,99.06,2.01,1.96,0.85
1975-02-12,1979-02-11,99.06,101.57,2.51,2.53,1460,103.01,99.06,2.01,1.96,0.84
1975-02-13,1979-02-12,100.45,102.12,1.67,1.67,1460,103.01,99.12,2.01,1.96,0.84
1975-02-14,1979-02-13,100.17,101.49,1.32,1.32,1460,103.01,99.12,2.01,1.96,0.84
1975-02-15,1979-02-14,99.31,101.94,2.63,2.65,1460,103.01,99.12,2.01,1.96,0.84
1975-02-16,1979-02-15,99.59,101.72,2.13,2.14,1460,103.01,99.12,2.01,1.96,0.84
1975-02-17,1979-02-16,100.84,101.35,0.51,0.51,1460,103.01,99.12,2.01,1.96,0.84
1975-02-18,1979-02-17,99.70,102.91,3.21,3.22,1460,103.01,99.12,2.01,1.96,0.84
1975-02-19,1979-02-18,100.23,101.07,0.83,0.83,1460,103.01,99.12,2.01,1.96,0.84
1975-02-20,1979-02-19,99.22,102.85,3.63,3.66,1460,103.01,99.12,2.01,1.96,0.85
1975-02-21,1979-02-20,99.93,101.25,1.32,1.32,1460,103.01,99.12,2.01,1.96,0.85
1975-02-22,1979-02-21,99.58,101.64,2.06,2.07,1460,103.01,99.12,2.01,1.96,0.85
1975-02-23,1979-02-22,100.54,103.02,2.48,2.47,1460,103.02,99.12,2.01,1.96,0.85
1975-02-24,1979-02-23,100.92,102.69,1.77,1.76,1460,103.02,99.12,2.01,1.96,0.85
1975-02-25,1979-02-24,100.94,102.18,1.24,1.23,1460,103.02,99.12,2.01,1.96,0.85
1975-02-26,1979-02-25,100.53,102.40,1.87,1.86,1460,103.02,99.12,2.01,1.96,0.85
1975-02-27,1979-02-26,100.70,103.06,2.36,2.34,1460,103.06,99.12,2.01,1.96,0.85
1975-02-28,1979-02-27,99.45,102.26,2.81,2.82,1460,103.06,99.12,2.01,1.96,0.85
1975-03-01,1979-02-28,99.23,102.68,3.45,3.48,1460,103.06,99.12,2.01,1.96,0.85
1975-03-02,1979-03-01,99.87,102.55,2.68,2.68,1460,103.06,99.12,2.01,1.96,0.85
1975-03-03,1979-03-02,100.68,101.30,0.62,0.62,1460,103.06,99.12,2.01,1.96,0.85
1975-03-04,1979-03-03,99.29,101.91,2.62,2.64,1460,103.06,99.12,2.01,1.96,0.85
1975-03-05,1979-03-04,99.29,101.41,2.12,2.14,1460,103.06,99.12,2.01,1.96,0.85
1975-03-06,1979-03-05,99.75,102.88,3.12,3.13,1460,103.06,99.12,2.01,1.96,0.85
1975-03-07,1979-03-06,99.95,102.50,2.55,2.55,1460,103.06,99.12,2.01,1.96,0.85
1975-03-08,1979-03-07,99.17,101.90,2.73,2.75,1460,103.06,99.12,2.01,1.96,0.85
1975-03-09,1979-03-08,100.21,102.68,2.47,2.46,1460,103.06,99.12,2.01,1.96,0.85
1975-03-10,1979-03-09,99.72,101.53,1.81,1.82,1460,103.06,99.12,2.01,1.96,0.85
1975-03-11,1979-03-10,99.93,102.80,2.87,2.87,1460,103.06,99.12,2.01,1.96,0.85
1975-03-12,1979-03-11,100.64,101.10,0.46,0.45,1460,103.06,99.12,2.01,1.96,0.85
1975-03-13,1979-03-12,99.25,102.62,3.37,3.39,1460,103.06,99.12,2.01,1.96,0.85
1975-03-14,1979-03-13,99.16,102.41,3.25,3.28,1460,103.06,99.12,2.01,1.96,0.85
1975-03-15,1979-03-14,99.47,102.45,2.98,3.00,1460,103.06,99.12,2.01,1.96,0.85
1975-03-16,1979-03-15,100.93,102.97,2.04,2.02,1460,103.06,99.12,2.01,1.96,0.85
1975-03-17,1979-03-16,100.04,101.78,1.75,1.75,1460,103.06,99.12,2.01,1.96,0.85
1975-03-18,1979-03-17,100.45,101.55,1.09,1.09,1460,103.06,99.12,2.01,1.96,0.85
1975-03-19,1979-03-18,99.62,102.14,2.52,2.53,1460,103.06,99.12,2.01,1.96,0.85
1975-03-20,1979-03-19,100.10,102.28,2.19,2.18,1460,103.06,99.12,2.01,1.96,0.85
1975-03-21,1979-03-20,100.68,101.56,0.87,0.86,1460,103.06,99.12,2.01,1.96,0.85
1975-03-22,1979-03-21,100.74,102.36,1.61,1.60,1460,103.06,99.12,2.01,1.96,0.85
1975-03-23,1979-03-22,99.36,102.48,3.12,3.14,1460,103.06,99.12,2.01,1.96,0.85
1975-03-24,1979-03-23,99.12,102.09,2.97,3.00,1460,103.06,99.12,2.01,1.96,0.85
1975-03-25,1979-03-24,100.61,102.27,1.66,1.65,1460,103.06,99.15,2.01,1.96,0.85
1975-03-26,1979-03-25,99.35,101.99,2.64,2.66,1460,103.06,99.15,2.01,1.96,0.85
1975-03-27,1979-03-26,100.56,102.21,1.65,1.64,1460,103.06,99.15,2.01,1.96,0.85
1975-03-28,1979-03-27,100.78,101.61,0.83,0.82,1460,103.06,99.15,2.01,1.96,0.85
1975-03-29,1979-03-28,100.61,102.51,1.90,1.89,1460,103.06,99.15,2.01,1.96,0.85
1975-03-30,1979-03-29,101.08,101.32,0.24,0.23,1460,103.06,99.15,2.01,1.96,0.85
1975-03-31,1979-03-30,100.27,102.21,1.94,1.94,1460,103.06,99.15,2.01,1.96,0.85
1975-04-01,1979-03-31,99.48,101.59,2.11,2.12,1460,103.06,99.15,2.01,1.96,0.85
1975-04-02,1979-04-01,100.40,102.16,1.76,1.75,1460,103.06,99.15,2.01,1.96,0.85
1975-04-03,1979-04-02,100.46,101.89,1.43,1.42,1460,103.06,99.15,2.01,1.96,0.85
1975-04-04,1979-04-03,100.96,101.97,1.01,1.00,1460,103.06,99.15,2.01,1.96,0.85
1975-04-05,1979-04-04,99.76,102.86,3.11,3.11,1460,103.06,99.15,2.01,1.96,0.85
1975-04-06,1979-04-05,100.09,102.71,2.62,2.62,1460,103.06,99.15,2.01,1.96,0.85
1975-04-07,1979-04-06,99.15,102.84,3.69,3.72,1460,103.06,99.15,2.01,1.96,0.85
1975-04-08,1979-04-07,99.88,102.81,2.93,2.93,1460,103.06,99.19,2.01,1.96,0.85
1975-04-09,1979-04-08,101.10,101.55,0.45,0.44,1460,103.06,99.19,2.01,1.96,0.85
1975-04-10,1979-04-09,100.25,101.33,1.08,1.08,1460,103.06,99.19,2.01,1.96,0.84
1975-04-11,1979-04-10,101.09,102.06,0.97,0.96,1460,103.06,99.19,2.01,1.96,0.84
1975-04-12,1979-04-11,101.00,101.79,0.79,0.78,1460,103.06,99.19,2.01,1.96,0.84
1975-04-13,1979-04-12,99.79,102.50,2.71,2.72,1460,103.06,99.19,2.01,1.96,0.84
1975-04-14,1979-04-13,100.55,101.57,1.02,1.01,1460,103.06,99.19,2.01,1.96,0.84
1975-04-15,1979-04-14,100.66,101.82,1.16,1.15,1460,103.06,99.19,2.01,1.96,0.84
1975-04-16,1979-04-15,99.19,102.35,3.16,3.18,1460,103.06,99.19,2.01,1.96,0.84
1975-04-17,1979-04-16,100.00,101.68,1.69,1.69,1460,103.06,99.24,2.01,1.96,0.84
1975-04-18,1979-04-17,99.40,102.16,2.76,2.78,1460,103.06,99.24,2.01,1.96,0.84
1975-04-19,1979-04-18,100.07,102.55,2.47,2.47,1460,103.06,99.24,2.01,1.96,0.84
1975-04-20,1979-04-19,101.09,102.20,1.11,1.10,1460,103.06,99.24,2.01,1.96,0.84
1975-04-21,1979-04-20,100.76,101.35,0.59,0.59,1460,103.06,99.24,2.01,1.96,0.84
1975-04-22,1979-04-21,99.53,101.36,1.83,1.83,1460,103.06,99.24,2.01,1.96,0.84
1975-04-23,1979-04-22,99.47,103.03,3.56,3.58,1460,103.06,99.24,2.01,1.96,0.84
1975-04-24,1979-04-23,100.95,102.35,1.40,1.38,1460,103.06,99.24,2.01,1.96,0.84
1975-04-25,1979-04-24,100.56,101.76,1.20,1.20,1460,103.06,99.24,2.01,1.96,0.84
1975-04-26,1979-04-25,100.42,101.36,0.94,0.93,1460,103.06,99.24,2.01,1.96,0.84
1975-04-27,1979-04-26,99.91,101.73,1.82,1.82,1460,103.06,99.24,2.01,1.96,0.84
1975-04-28,1979-04-27,99.26,102.80,3.54,3.56,1460,103.06,99.24,2.01,1.96,0.84
1975-04-29,1979-04-28,100.80,102.53,1.73,1.72,1460,103.06,99.24,2.01,1.96,0.84
1975-04-30,1979-04-29,100.91,102.06,1.15,1.14,1460,103.06,99.24,2.01,1.96,0.84
1975-05-01,1979-04-30,101.12,102.56,1.44,1.42,1460,103.06,99.24,2.01,1.96,0.84
1975-05-02,1979-05-01,100.11,101.69,1.57,1.57,1460,103.06,99.24,2.01,1.96,0.84
1975-05-03,1979-05-02,99.88,102.15,2.27,2.27,1460,103.06,99.24,2.01,1.96,0.84
1975-05-04,1979-05-03,100.00,102.61,2.61,2.61,1460,103.06,99.24,2.01,1.96,0.84
1975-05-05,1979-05-04,99.34,101.87,2.53,2.55,1460,103.06,99.24,2.01,1.96,0.84
1975-05-06,1979-05-05,100.95,101.36,0.41,0.41,1460,103.06,99.24,2.01,1.96,0.84
1975-05-07,1979-05-06,99.41,101.83,2.42,2.43,1460,103.06,99.24,2.01,1.96,0.84
1975-05-08,1979-05-07,101.17,102.52,1.34,1.33,1460,103.06,99.24,2.01,1.96,0.84
1975-05-09,1979-05-08,100.55,103.07,2.53,2.51,1460,103.07,99.24,2.01,1.96,0.84
1975-05-10,1979-05-09,99.36,102.48,3.13,3.15,1460,103.07,99.24,2.01,1.96,0.84
1975-05-11,1979-05-10,99.51,101.54,2.03,2.04,1460,103.07,99.24,2.01,1.96,0.84
1975-05-12,1979-05-11,100.76,102.79,2.03,2.01,1460,103.07,99.24,2.01,1.96,0.84
1975-05-13,1979-05-12,100.70,102.62,1.92,1.91,1460,103.07,99.24,2.01,1.96,0.84
1975-05-14,1979-05-13,99.84,102.90,3.06,3.06,1460,103.07,99.24,2.01,1.96,0.84
