Start Date,End Date,Start Price,End Price,Profit/Loss,Profit/Loss %,Days Held,Max Price,Min Price,Max Drawdown,Max Drawdown %,Volatility %
2020-03-23,2024-03-22,6503.53,63816.99,57313.46,881.27,1460,73118.09,5882.20,51788.95,76.67,3.34
2020-03-24,2024-03-23,6767.18,64004.42,57237.24,845.81,1460,73118.09,5882.20,51788.95,76.67,3.34
2020-03-25,2024-03-24,6694.21,67208.33,60514.12,903.98,1460,73118.09,5882.20,51788.95,76.67,3.34
2020-03-26,2024-03-25,6757.95,69892.26,63134.31,934.22,1460,73118.09,5882.20,51788.95,76.67,3.34
2020-03-27,2024-03-26,6382.80,69990.22,63607.42,996.54,1460,73118.09,5882.20,51788.95,76.67,3.34
2020-03-28,2024-03-27,6252.49,69434.46,63181.97,1010.51,1460,73118.09,5882.20,51788.95,76.67,3.34
2020-03-29,2024-03-28,5882.20,70789.57,64907.37,1103.45,1460,73118.09,5882.20,51788.95,76.67,3.33
2020-03-30,2024-03-29,6403.31,69903.72,63500.41,991.68,1460,73118.09,6403.31,51788.95,76.67,3.33
2020-03-31,2024-03-30,6423.61,69629.99,63206.38,983.97,1460,73118.09,6423.61,51788.95,76.67,3.33
2020-04-01,2024-03-31,6663.63,71312.91,64649.28,970.18,1460,73118.09,6629.54,51788.95,76.67,3.33
2020-04-02,2024-04-01,6804.42,69686.37,62881.95,924.13,1460,73118.09,6629.54,51788.95,76.67,3.33
2020-04-03,2024-04-02,6743.68,65466.81,58723.13,870.79,1460,73118.09,6629.54,51788.95,76.67,3.33
2020-04-04,2024-04-03,6875.95,65986.11,59110.16,859.67,1460,73118.09,6629.54,51788.95,76.67,3.33
2020-04-05,2024-04-04,6781.64,68523.79,61742.15,910.43,1460,73118.09,6629.54,51788.95,76.67,3.33
2020-04-06,2024-04-05,7347.22,67860.53,60513.31,823.62,1460,73118.09,6629.54,51788.95,76.67,3.32
2020-04-07,2024-04-06,7201.57,68913.79,61712.22,856.93,1460,73118.09,6629.54,51788.95,76.67,3.32
2020-04-08,2024-04-07,7367.37,69357.32,61989.95,841.41,1460,73118.09,6629.54,51788.95,76.67,3.32
2020-04-09,2024-04-08,7294.55,71629.36,64334.81,881.96,1460,73118.09,6629.54,51788.95,76.67,3.32
2020-04-10,2024-04-09,6876.49,69129.48,62252.99,905.30,1460,73118.09,6629.54,51788.95,76.67,3.32
2020-04-11,2024-04-10,6887.60,70628.54,63740.94,925.44,1460,73118.09,6629.54,51788.95,76.67,3.32
2020-04-12,2024-04-11,6913.76,70026.43,63112.67,912.86,1460,73118.09,6629.54,51788.95,76.67,3.32
2020-04-13,2024-04-12,6859.43,67158.30,60298.87,879.07,1460,73118.09,6629.54,51788.95,76.67,3.32
2020-04-14,2024-04-13,6879.44,64021.36,57141.92,830.62,1460,73118.09,6629.54,51788.95,76.67,3.33
2020-04-15,2024-04-14,6629.54,65765.64,59136.10,892.01,1460,73118.09,6629.54,51788.95,76.67,3.33
2020-04-16,2024-04-15,7114.55,63447.27,56332.72,791.80,1460,73118.09,6842.45,51788.95,76.67,3.32
2020-04-17,2024-04-16,7037.12,63824.70,56787.58,806.97,1460,73118.09,6842.45,51788.95,76.67,3.32
2020-04-18,2024-04-17,7264.29,61283.74,54019.45,743.63,1460,73118.09,6842.45,51788.95,76.67,3.32
2020-04-19,2024-04-18,7132.88,63511.20,56378.32,790.40,1460,73118.09,6842.45,51788.95,76.67,3.32
2020-04-20,2024-04-19,6842.45,63848.26,57005.81,833.12,1460,73118.09,6842.45,51788.95,76.67,3.32
2020-04-21,2024-04-20,6855.11,64979.21,58124.10,847.89,1460,73118.09,6855.11,51788.95,76.67,3.32
2020-04-22,2024-04-21,7135.41,64955.82,57820.41,810.33,1460,73118.09,7135.41,51788.95,76.67,3.32
2020-04-23,2024-04-22,7489.25,66854.24,59364.99,792.67,1460,73118.09,7489.25,51788.95,76.67,3.32
2020-04-24,2024-04-23,7509.44,66415.06,58905.62,784.42,1460,73118.09,7509.44,51788.95,76.67,3.32
2020-04-25,2024-04-24,7546.92,64263.95,56717.03,751.53,1460,73118.09,7546.92,51788.95,76.67,3.32
2020-04-26,2024-04-25,7701.35,64488.49,56787.14,737.37,1460,73118.09,7701.35,51788.95,76.67,3.32
2020-04-27,2024-04-26,7787.41,63750.63,55963.22,718.64,1460,73118.09,7760.32,51788.95,76.67,3.32
2020-04-28,2024-04-27,7760.32,63434.44,55674.12,717.42,1460,73118.09,7760.32,51788.95,76.67,3.32
2020-04-29,2024-04-28,8784.96,63111.34,54326.38,618.40,1460,73118.09,8568.88,51788.95,76.67,3.30
2020-04-30,2024-04-29,8637.56,63847.54,55209.98,639.18,1460,73118.09,8568.88,51788.95,76.67,3.30
2020-05-01,2024-04-30,8829.12,60633.97,51804.85,586.75,1460,73118.09,8568.88,51788.95,76.67,3.31
2020-05-02,2024-05-01,8981.11,58277.44,49296.33,548.89,1460,73118.09,8568.88,51788.95,76.67,3.31
2020-05-03,2024-05-02,8907.19,59083.85,50176.66,563.33,1460,73118.09,8568.88,51788.95,76.67,3.31
2020-05-04,2024-05-03,8881.65,62917.45,54035.80,608.40,1460,73118.09,8568.88,51788.95,76.67,3.31
2020-05-05,2024-05-04,9029.75,63904.51,54874.76,607.71,1460,73118.09,8568.88,51788.95,76.67,3.31
2020-05-06,2024-05-05,9153.20,64037.50,54884.30,599.62,1460,73118.09,8568.88,51788.95,76.67,3.31
2020-05-07,2024-05-06,9999.93,63168.44,53168.51,531.69,1460,73118.09,8568.88,51788.95,76.67,3.30
2020-05-08,2024-05-07,9808.18,62323.36,52515.18,535.42,1460,73118.09,8568.88,51788.95,76.67,3.30
2020-05-09,2024-05-08,9541.13,61179.81,51638.68,541.22,1460,73118.09,8568.88,51788.95,76.67,3.30
2020-05-10,2024-05-09,8735.05,63077.18,54342.13,622.12,1460,73118.09,8568.88,51788.95,76.67,3.29
2020-05-11,2024-05-10,8568.88,60790.82,52221.94,609.44,1460,73118.09,8568.88,51788.95,76.67,3.30
2020-05-12,2024-05-11,8821.18,60823.19,52002.01,589.51,1460,73118.09,8718.49,51788.95,76.67,3.30
2020-05-13,2024-05-12,9317.44,61459.22,52141.78,559.61,1460,73118.09,8718.49,51788.95,76.67,3.29
2020-05-14,2024-05-13,9793.19,62932.29,53139.10,542.61,1460,73118.09,8718.49,51788.95,76.67,3.29
2020-05-15,2024-05-14,9311.69,61548.48,52236.79,560.98,1460,73118.09,8718.49,51788.95,76.67,3.29
2020-05-16,2024-05-15,9387.08,66245.16,56858.08,605.71,1460,73118.09,8718.49,51788.95,76.67,3.29
2020-05-17,2024-05-16,9670.56,65250.53,55579.97,574.73,1460,73118.09,8718.49,51788.95,76.67,3.29
2020-05-18,2024-05-17,9722.73,67051.35,57328.62,589.64,1460,73118.09,8718.49,51788.95,76.67,3.29
